Berichtsdatum,Anzahl COVID-19-Fälle,Differenz Vortag Fälle,Todesfälle,Differenz Vortag Todesfälle,Fall-Verstorbenen-Anteil,Fälle ohne Todesfälle
2020-02-25,16,,,,,16
2020-02-26,21,5,,,,21
2020-02-27,26,5,,,,26
2020-02-28,53,27,,,,53
2020-02-29,66,13,,,,66
2020-03-01,117,51,,,,117
2020-03-02,150,33,,,,150
2020-03-03,188,38,,,,188
2020-03-04,240,52,,,,240
2020-03-05,349,109,,,,349
2020-03-06,534,185,,,,534
2020-03-07,684,150,,,,684
2020-03-08,847,163,,,,847
2020-03-09,1112,265,2,2,0.18%,1110
2020-03-10,1296,184,2,,0.15%,1294
2020-03-11,1567,271,3,1,0.19%,1564
2020-03-12,2369,802,5,2,0.21%,2364
2020-03-13,3062,693,5,,0.16%,3057
2020-03-14,3795,733,8,3,0.21%,3787
2020-03-15,4838,1043,12,4,0.25%,4826
2020-03-16,6012,1174,12,,0.20%,6000
2020-03-17,7156,1144,12,,0.17%,7144
2020-03-18,8198,1042,12,,0.15%,8186
2020-03-19,10999,2801,20,8,0.18%,10979
2020-03-20,13957,2958,31,11,0.22%,13926
2020-03-21,16662,2705,47,16,0.28%,16615
2020-03-22,18610,1948,55,8,0.30%,18555
2020-03-23,22672,4062,86,31,0.38%,22586
2020-03-24,27436,4764,114,28,0.42%,27322
2020-03-25,31554,4118,149,35,0.47%,31405
2020-03-26,36508,4954,198,49,0.54%,36310
2020-03-27,42288,5780,253,55,0.60%,42035
2020-03-28,48582,6294,325,72,0.67%,48257
2020-03-29,52547,3965,389,64,0.74%,52158
2020-03-30,57298,4751,455,66,0.79%,56843
2020-03-31,61913,4615,583,128,0.94%,61330
2020-04-01,67366,5453,732,149,1.09%,66634
2020-04-02,73522,6156,872,140,1.19%,72650
2020-04-03,79696,6174,1017,145,1.28%,78679
2020-04-04,85778,6082,1158,141,1.35%,84620
2020-04-05,91714,5936,1342,184,1.46%,90372
2020-04-06,95391,3677,1434,92,1.50%,93957
2020-04-07,99225,3834,1607,173,1.62%,97618
2020-04-08,103228,4003,1861,254,1.80%,101367
2020-04-09,108202,4974,2107,246,1.95%,106095
2020-04-10,113525,5323,2373,266,2.09%,111152
2020-04-11,117658,4133,2544,171,2.16%,115114
2020-04-12,120479,2821,2673,129,2.22%,117806
2020-04-13,123016,2537,2799,126,2.28%,120217
2020-04-14,125098,2082,2969,170,2.37%,122129
2020-04-15,127584,2486,3254,285,2.55%,124330
2020-04-16,130450,2866,3569,315,2.74%,126881
2020-04-17,133830,3380,3868,299,2.89%,129962
2020-04-18,137439,3609,4110,242,2.99%,133329
2020-04-19,139897,2458,4294,184,3.07%,135603
2020-04-20,141672,1775,4404,110,3.11%,137268
2020-04-21,143457,1785,4598,194,3.21%,138859
2020-04-22,145694,2237,4879,281,3.35%,140815
2020-04-23,148046,2352,5094,215,3.44%,142952
2020-04-24,150383,2337,5321,227,3.54%,145062
2020-04-25,152438,2055,5500,179,3.61%,146938
2020-04-26,154175,1737,5640,140,3.66%,148535
2020-04-27,155193,1018,5750,110,3.71%,149443
2020-04-28,156337,1144,5913,163,3.78%,150424
2020-04-29,157641,1304,6115,202,3.88%,151526
2020-04-30,159119,1478,6288,173,3.95%,152831
2020-05-01,160758,1639,6481,193,4.03%,154277
2020-05-02,161703,945,6575,94,4.07%,155128
2020-05-03,162496,793,6649,74,4.09%,155847
2020-05-04,163175,679,6692,43,4.10%,156483
2020-05-05,163860,685,6831,139,4.17%,157029
2020-05-06,164807,947,6996,165,4.24%,157811
2020-05-07,166091,1284,7119,123,4.29%,158972
2020-05-08,167300,1209,7266,147,4.34%,160034
2020-05-09,168551,1251,7369,103,4.37%,161182
2020-05-10,169218,667,7395,26,4.37%,161823
2020-05-11,169575,357,7417,22,4.37%,162158
2020-05-12,170508,933,7533,116,4.42%,162975
2020-05-13,171306,798,7634,101,4.46%,163672
2020-05-14,172239,933,7723,89,4.48%,164516
2020-05-15,173152,913,7824,101,4.52%,165328
2020-05-16,173772,620,7881,57,4.54%,165891
2020-05-17,174355,583,7914,33,4.54%,166441
2020-05-18,174697,342,7935,21,4.54%,166762
2020-05-19,175210,513,8007,72,4.57%,167203
2020-05-20,176007,797,8090,83,4.60%,167917
2020-05-21,176752,745,8147,57,4.61%,168605
2020-05-22,177212,460,8174,27,4.61%,169038
2020-05-23,177850,638,8216,42,4.62%,169634
2020-05-24,178281,431,8247,31,4.63%,170034
2020-05-25,178570,289,8257,10,4.62%,170313
2020-05-26,179002,432,8302,45,4.64%,170700
2020-05-27,179364,362,8349,47,4.65%,171015
2020-05-28,179717,353,8411,62,4.68%,171306
2020-05-29,180458,741,8450,39,4.68%,172008
2020-05-30,181196,738,8489,39,4.68%,172707
2020-05-31,181482,286,8500,11,4.68%,172982
2020-06-01,181815,333,8511,11,4.68%,173304
2020-06-02,182028,213,8522,11,4.68%,173506
2020-06-03,182370,342,8551,29,4.69%,173819
2020-06-04,182764,394,8581,30,4.70%,174183
2020-06-05,183271,507,8613,32,4.70%,174658
2020-06-06,183678,407,8646,33,4.71%,175032
2020-06-07,183979,301,8668,22,4.71%,175311
2020-06-08,184193,214,8674,6,4.71%,175519
2020-06-09,184543,350,8711,37,4.72%,175832
2020-06-10,184861,318,8729,18,4.72%,176132
2020-06-11,185416,555,8755,26,4.72%,176661
2020-06-12,185674,258,8763,8,4.72%,176911
2020-06-13,186022,348,8781,18,4.72%,177241
