Data;Netherlands;United Kingdom
2021-09-21;6;203
2021-09-22;4;166
2021-09-23;12;182
2021-09-24;4;180
2021-09-25;3;122
2021-09-26;1;63
2021-09-27;7;40
2021-09-28;8;167
2021-09-29;6;150
2021-09-30;2;137
2021-10-01;6;127
2021-10-02;5;121
2021-10-03;1;43
2021-10-04;4;33
2021-10-05;7;166
2021-10-06;3;145
2021-10-07;6;122
2021-10-08;2;125
2021-10-09;2;156
2021-10-10;1;38
2021-10-11;5;28
2021-10-12;7;181
2021-10-13;12;136
2021-10-14;4;157
2021-10-15;7;142
2021-10-16;5;148
2021-10-17;6;57
2021-10-18;4;45
2021-10-19;14;223
2021-10-20;11;179
2021-10-21;7;117
2021-10-22;10;180
2021-10-23;23;135
2021-10-24;1;72
2021-10-25;6;38
2021-10-26;20;263
2021-10-27;17;207
2021-10-28;14;166
2021-10-29;13;186
2021-10-30;13;166
2021-10-31;14;74
2021-11-01;12;40
2021-11-02;18;292
2021-11-03;33;217
2021-11-04;23;214
2021-11-05;20;193
2021-11-06;36;155
2021-11-07;8;62
2021-11-08;22;57
2021-11-09;29;262
2021-11-10;25;214
2021-11-11;26;195
2021-11-12;32;145
2021-11-13;33;157
2021-11-14;6;63
2021-11-15;16;47
2021-11-16;35;214
2021-11-17;44;201
2021-11-18;34;199
2021-11-19;37;157
2021-11-20;55;150
2021-11-21;11;61
2021-11-22;29;45
2021-11-23;53;165
2021-11-24;50;149
2021-11-25;60;147
2021-11-26;59;160
2021-11-27;55;131
2021-11-28;45;51
2021-11-29;32;35
2021-11-30;65;160
2021-12-01;45;171
2021-12-02;65;141
2021-12-03;62;143
2021-12-04;56;127
2021-12-05;26;54
2021-12-06;34;42
2021-12-07;68;180
2021-12-08;72;163
2021-12-09;77;148
2021-12-10;85;120
2021-12-11;70;132
2021-12-12;38;52
2021-12-13;28;38
2021-12-14;74;150
2021-12-15;41;164
2021-12-16;55;147
2021-12-17;60;113
2021-12-18;50;125
2021-12-19;48;45
2021-12-20;36;43
2021-12-21;30;173
2021-12-22;47;141
2021-12-23;40;147
2021-12-24;40;137
2021-12-25;44;
