Nr tygodnia,2015,2016,2017,2018,2019,2020,2021,2022
1,,8246,9321,8406,8706,8473,11496,12011
2,,7942,10270,8107,8613,8275,10994,10779
3,,7702,9902,8663,8740,8091,11039,9983
4,,7999,9966,8811,8833,8042,10432,10130
5,,8000,10102,9009,9381,8578,9900,10474
6,,8160,9464,9118,9303,8363,9951,9908
7,,7954,9256,9145,9261,8658,10150,485
8,,7893,9077,9366,8744,8504,9927,
9,,8015,8408,9898,8653,8487,10185,
10,,7879,7989,10137,8407,8389,10865,
11,,7847,7732,9510,8210,8437,11584,
12,,8049,7665,9089,8056,8338,12633,
13,,8062,7703,8730,7827,8164,13862,
14,,7636,7391,8599,7805,8005,13829,
15,,7540,7468,8239,7719,8012,12815,
16,,7132,7504,7773,7762,8210,12026,
17,,7199,7499,7613,8129,7767,11101,
18,,7425,7416,7394,7522,7770,10101,
19,,7272,7088,7353,7526,7601,9719,
20,,6966,7173,7098,7473,7581,8704,
21,,7270,7110,7336,7615,7576,8264,
22,,6968,7130,7727,7492,7652,8185,
23,,6645,6917,7204,7990,7831,8172,
24,,6821,6868,7061,8286,7763,8371,
25,,7607,7281,7094,7220,7412,8389,
26,,6884,7047,7025,7382,7397,7574,
27,,6625,6737,7378,7097,7668,7684,
28,,6912,6842,7195,7144,7340,7914,
29,,6688,7219,7210,7485,7537,7382,
30,,7291,7029,7707,7692,7595,7852,
31,,6681,7587,8051,7298,7815,7416,
32,,6740,6936,7331,7222,7974,7602,
33,,6837,6886,6893,7001,8102,7435,
34,,7070,6642,6914,7083,7962,7429,
35,,7032,7007,6967,7877,7461,7427,
36,6907,7007,7009,7211,7002,7584,8104,
37,6691,6774,7218,7186,7000,7720,7856,
38,7170,6795,7300,7500,7426,8252,8119,
39,6879,7373,7559,7431,8032,8245,8173,
40,7187,7393,8066,7882,7719,8428,8512,
41,7229,7486,7832,7594,7853,9213,8571,
42,7891,7681,7632,7561,7836,10246,8885,
43,7605,7521,7579,7778,7657,12388,9509,
44,7378,7689,7625,7793,7678,14769,9956,
45,7456,7525,7378,7644,7648,16265,10791,
46,7521,7576,7522,7616,7596,15653,12061,
47,7481,7735,7814,7742,7559,14856,12761,
48,7447,7787,7598,7952,7720,13642,13413,
49,7614,8011,7830,8116,7965,12998,13806,
50,7593,7859,7965,7946,7986,12030,13858,
51,7501,8321,8038,8190,8250,11648,13736,
52,7643,8904,8460,8566,8245,11974,13548,
53,7864,,,,,11689,,
