Data,Wszystkie łóżka w szpitalach ogólnych,Zarezerwowane łóżka COV,Zajęte łóżka COV
12.06.2020,167567,30818,1629
13.06.2020,167567,30818,1711
14.06.2020,167567,30818,1748
15.06.2020,167567,30818,1736
16.06.2020,167567,30818,1806
17.06.2020,167567,30818,1693
18.06.2020,167567,30818,1849
19.06.2020,167567,30818,1886
20.06.2020,167567,30818,1931
21.06.2020,167567,30818,1877
22.06.2020,167567,30818,1899
23.06.2020,167567,30818,1936
24.06.2020,167567,30818,1956
25.06.2020,167567,30818,1974
26.06.2020,167567,30818,1933
27.06.2020,167567,30818,1869
28.06.2020,167567,30818,1845
29.06.2020,167567,30818,1797
30.06.2020,167567,30818,1811
01.07.2020,167567,30818,1923
02.07.2020,167567,30818,1787
03.07.2020,167567,30818,1743
04.07.2020,167567,30818,1731
05.07.2020,167567,30818,1765
06.07.2020,167567,30818,1790
07.07.2020,167567,30818,1658
08.07.2020,167567,30818,1683
09.07.2020,167567,30818,1687
10.07.2020,167567,30818,1597
11.07.2020,167567,30818,1617
12.07.2020,167567,30818,1610
13.07.2020,167567,30818,1640
14.07.2020,167567,30818,1581
15.07.2020,167567,30818,1575
16.07.2020,167567,30818,1550
17.07.2020,167567,30818,1604
18.07.2020,167567,30818,1551
19.07.2020,167567,30818,1560
20.07.2020,167567,30818,1575
21.07.2020,167567,30818,1607
22.07.2020,167567,30818,1644
23.07.2020,167567,30818,1626
24.07.2020,167567,30818,1617
25.07.2020,167567,30818,1594
26.07.2020,167567,30818,1601
27.07.2020,167567,30818,1625
28.07.2020,167567,30818,1655
29.07.2020,167567,30818,1687
30.07.2020,167567,30818,1694
31.07.2020,167567,30818,1778
01.08.2020,167567,30818,1841
02.08.2020,167567,30818,1835
03.08.2020,167567,30818,1841
04.08.2020,167567,30818,1859
05.08.2020,167567,30818,1898
06.08.2020,167567,30818,1913
07.08.2020,167567,30818,1928
08.08.2020,167567,30818,1928
09.08.2020,167567,30818,1930
10.08.2020,167567,30818,1929
11.08.2020,167567,30818,1985
12.08.2020,167567,30818,2021
13.08.2020,167567,30818,2059
14.08.2020,167567,30818,2040
15.08.2020,167567,30818,2028
16.08.2020,167567,30818,2035
17.08.2020,167567,30818,2040
18.08.2020,167567,30818,2057
19.08.2020,167567,30818,2097
20.08.2020,167567,30818,2110
21.08.2020,167567,30818,2151
22.08.2020,167567,30818,2189
23.08.2020,167567,30818,2195
24.08.2020,167567,30818,2207
25.08.2020,167567,30818,2167
26.08.2020,167567,30818,2170
27.08.2020,167567,30818,2185
28.08.2020,167567,30818,2221
29.08.2020,167567,30818,2237
30.08.2020,167567,30818,2242
31.08.2020,167567,30818,2249
01.09.2020,167567,30818,2138
02.09.2020,167567,30818,2168
03.09.2020,167567,30818,2170
04.09.2020,167567,30818,2179
05.09.2020,167567,30818,2090
06.09.2020,167567,30818,2091
07.09.2020,167567,30818,2113
08.09.2020,167567,30818,2042
09.09.2020,167567,30818,2070
10.09.2020,167567,30818,1924
11.09.2020,167567,30818,1957
12.09.2020,167567,30818,1946
13.09.2020,167567,30818,1961
14.09.2020,167567,30818,1972
15.09.2020,167567,30818,1996
16.09.2020,167567,30818,2007
17.09.2020,167567,30818,1917
18.09.2020,167567,30818,1925
19.09.2020,167567,30818,1977
20.09.2020,167567,30818,1985
21.09.2020,167567,30818,1979
22.09.2020,167567,30818,1993
23.09.2020,167567,30818,1971
24.09.2020,167567,30818,1964
25.09.2020,167567,30818,1995
26.09.2020,167567,30818,2134
27.09.2020,167567,30818,2223
28.09.2020,167567,30818,2305
29.09.2020,167567,30818,2399
30.09.2020,167567,30818,2481
01.10.2020,167567,30818,2560
