Data,Polska sam COV,Polska(ch.w.), Niemcy,Grecja,UK,Czechy,Słowacja,Belgia,Australia,Portugalia,Austria,Francja,Szwajcaria,Hiszpania,Węgry,Irlandia,Izrael,Włochy
2021-10-21,0.367,0.839,0.805,3.278,1.715,1.212,2.014,1.633,0.814,0.787,1.216,0.549,0.574,0.428,2.076,0.000,0.753,0.596
2021-10-22,0.629,2.123,2.199,6.749,4.354,1.771,2.563,2.579,1.241,1.574,2.654,0.979,1.033,1.070,4.567,0.000,1.076,1.242
2021-10-23,1.075,3.643,3.232,10.895,6.333,3.170,4.211,2.579,1.823,1.967,3.981,1.320,0.918,1.070,4.567,0.000,1.829,1.888
2021-10-24,1.232,3.827,3.509,13.788,7.389,3.823,5.676,2.579,2.250,2.360,4.644,1.379,1.033,1.070,4.567,0.000,2.152,2.286
2021-10-25,1.232,3.827,3.713,18.995,7.946,4.755,8.240,6.276,2.444,2.852,5.750,2.017,2.295,2.225,12.352,0.000,3.551,2.783
2021-10-26,2.018,5.478,5.251,21.406,11.802,6.900,11.536,8.425,3.064,3.147,7.740,2.581,3.557,3.337,16.919,0.000,3.659,3.578
2021-10-27,3.172,7.811,6.621,27.481,14.837,8.672,15.565,11.176,4.111,3.442,8.846,3.130,3.901,4.428,20.656,13.446,4.735,4.406
2021-10-28,3.853,9.777,8.135,30.470,17.271,10.723,19.228,13.755,4.576,3.934,11.832,3.575,5.278,5.134,25.327,13.446,5.596,5.234
2021-10-29,4.168,12.136,9.589,35.773,19.998,12.215,23.440,15.302,5.119,4.327,13.712,4.005,6.884,6.118,29.168,13.446,6.027,5.781
2021-10-30,4.823,14.495,10.670,39.437,22.432,15.106,26.736,15.302,5.623,4.622,15.039,4.331,6.884,6.118,29.168,13.446,6.027,6.394
2021-10-31,4.875,14.679,11.067,43.680,23.517,16.691,29.666,15.302,5.933,4.720,16.366,4.509,6.999,6.118,29.168,13.446,7.641,6.825
