Tydzień,Wszystkie zgony w 2019,Wszystkie zgony w 2021,Zgony sam COV w 2021,Zgony COV + ch. współ. w 2021
1,8706,11495,468,2027
2,17319,22488,974,4187
3,26059,33527,1412,6194
4,34892,43959,1781,8011
5,44273,53859,2223,9915
6,53576,63809,2584,11632
7,62837,73958,2831,12994
8,71581,83885,3128,14592
9,80234,94069,3443,16064
10,88641,104934,3869,17955
11,96851,116517,4378,20072
12,104907,129151,4964,22650
13,112734,143011,5696,25705
14,120539,156840,6621,29183
15,128258,169653,7578,32791
16,136020,181678,8500,36172
17,144149,192779,9184,38827
18,151671,202880,9713,40772
19,159197,212599,10184,42440
20,166670,221303,10514,43703
21,174285,229567,10735,44513
22,181777,237752,10855,44927
23,189767,245924,10971,45348
24,198053,254295,11034,45603
25,205273,262684,11070,45754
26,212655,270257,11102,45859
27,219752,277941,11126,45931
28,226896,285855,11141,45986
29,234381,293237,11148,46013
30,242073,301087,11152,46032
31,249371,308501,11163,46056
32,256593,316101,11167,46070
33,263594,323535,11177,46087
34,270677,330962,11186,46111
35,278554,338385,11200,46148
36,285556,346483,11210,46194
37,292556,354337,11227,46256
38,299982,362452,11250,46340
39,308014,370619,11277,46463
40,315733,379128,11312,46636
41,323586,387691,11377,46879
42,331422,396572,11461,47214
43,339079,406079,11600,47767
44,346757,416030,11791,48525
45,354405,426808,12089,49634
46,362001,438858,12625,51587
47,369560,451593,13210,53800
48,377280,464972,13978,56433
49,385245,478728,14802,59238
50,393231,492441,15614,62244
51,401481,505092,16364,65083
52,409726,505904,17220,67811
