Data,1 dawka narastajaco,2 dawka narastajaco,Pelna dawka narastajaco,3 dawka narastajaco,Przypominająca dawka narastajaco,1 dawka,2 dawka,3 dawka,Przypominająca dawka,Osoby z niepełną dawką,Osoby z pelną dawką,Osoby z boosterem,Osoby Nieszczepione
2021-01-13,308987,237,237,0,0,308987,237,0,0,308750,237,0,37842013
2021-01-14,364248,238,238,0,0,55261,1,0,0,364010,238,0,37786752
2021-01-15,410241,239,239,0,0,45993,1,0,0,410002,239,0,37740759
2021-01-16,436723,240,240,0,0,26482,1,0,0,436483,240,0,37714277
2021-01-17,457047,256,256,0,0,20324,16,0,0,456791,256,0,37693953
2021-01-18,468795,671,671,0,0,11748,415,0,0,468124,671,0,37682205
2021-01-19,491696,3468,3468,0,0,22901,2797,0,0,488228,3468,0,37659304
2021-01-20,530055,11174,11174,0,0,38359,7706,0,0,518881,11174,0,37620945
2021-01-21,566793,24992,24992,0,0,36738,13818,0,0,541801,24992,0,37584207
2021-01-22,605313,39686,39686,0,0,38520,14694,0,0,565627,39686,0,37545687
2021-01-23,638798,45479,45479,0,0,33485,5793,0,0,593319,45479,0,37512202
2021-01-24,654184,46980,46980,0,0,15386,1501,0,0,607204,46980,0,37496816
2021-01-25,659753,47721,47721,0,0,5569,741,0,0,612032,47721,0,37491247
2021-01-26,701222,75765,75765,0,0,41469,28044,0,0,625457,75765,0,37449778
2021-01-27,782413,123044,123044,0,0,81191,47279,0,0,659369,123044,0,37368587
2021-01-28,858474,149779,149779,0,0,76061,26735,0,0,708695,149779,0,37292526
2021-01-29,917908,179128,179128,0,0,59434,29349,0,0,738780,179128,0,37233092
2021-01-30,945600,195481,195481,0,0,27692,16353,0,0,750119,195481,0,37205400
2021-01-31,958453,198478,198478,0,0,12853,2997,0,0,759975,198478,0,37192547
2021-02-01,976367,200537,200537,0,0,17914,2059,0,0,775830,200537,0,37174633
2021-02-02,998587,233129,233129,0,0,22220,32592,0,0,765458,233129,0,37152413
2021-02-03,1053245,289190,289190,0,0,54658,56061,0,0,764055,289190,0,37097755
2021-02-04,1117146,344432,344432,0,0,63901,55242,0,0,772714,344432,0,37033854
