Data,Zgony COV+współistniejące,Zgony sam COV,Zgony COV+współistniejące narastająco,Zgony sam COV narastająco
2020-11-24,540,55,14314,3361
2020-11-25,674,152,14988,3513
2020-11-26,580,78,15568,3591
2020-11-27,579,112,16147,3703
2020-11-28,599,85,16746,3788
2020-11-29,283,46,17029,3834
2020-11-30,121,21,17150,3855
2020-12-01,449,68,17599,3923
2020-12-02,609,89,18208,4012
2020-12-03,620,109,18828,4121
2020-12-04,531,110,19359,4231
2020-12-05,502,104,19861,4335
2020-12-06,228,42,20089,4377
2020-12-07,92,10,20181,4387
2020-12-08,411,94,20592,4481
2020-12-09,568,133,21160,4614
2020-12-10,470,113,21630,4727
2020-12-11,544,132,22174,4859
2020-12-12,502,131,22676,4990
2020-12-13,188,49,22864,5039
2020-12-14,96,40,22960,5079
2020-12-15,349,77,23309,5156
2020-12-16,605,155,23914,5311
2020-12-17,431,93,24345,5404
2020-12-18,426,122,24771,5526
2020-12-19,483,108,25254,5634
2020-12-20,143,39,25397,5673
2020-12-21,77,34,25474,5707
2020-12-22,309,72,25783,5779
2020-12-23,472,104,26255,5883
2020-12-24,552,190,26807,6073
2020-12-25,244,66,27051,6139
2020-12-26,68,8,27119,6147
2020-12-27,56,5,27175,6152
2020-12-28,27,2,27202,6154
2020-12-29,311,60,27513,6214
2020-12-30,565,125,28078,6339
2020-12-31,532,104,28610,6443
2021-01-01,400,122,29010,6565
2021-01-02,102,18,29112,6583
2021-01-03,61,7,29173,6590
2021-01-04,42,8,29215,6598
2021-01-05,341,85,29556,6683
2021-01-06,553,144,30109,6827
2021-01-07,186,38,30295,6865
2021-01-08,332,60,30627,6925
2021-01-09,438,100,31065,7025
2021-01-10,177,41,31242,7066
2021-01-11,75,10,31317,7076
2021-01-12,326,93,31643,7169
2021-01-13,481,117,32124,7286
2021-01-14,381,92,32505,7378
2021-01-15,386,88,32891,7466
2021-01-16,369,69,33260,7535
2021-01-17,142,37,33402,7572
2021-01-18,52,11,33454,7583
2021-01-19,291,60,33745,7643
2021-01-20,443,106,34188,7749
2021-01-21,419,81,34607,7830
2021-01-22,346,76,34953,7906
2021-01-23,346,82,35299,7988
2021-01-24,110,22,35409,8010
2021-01-25,38,10,35447,8020
2021-01-26,264,39,35711,8059
2021-01-27,389,97,36100,8156
2021-01-28,389,78,36489,8234
2021-01-29,336,65,36825,8299
2021-01-30,303,53,37128,8352
2021-01-31,98,27,37226,8379
2021-02-01,42,9,37268,8388
2021-02-02,253,40,37521,8428
2021-02-03,421,137,37942,8565
2021-02-04,444,84,38386,8649
2021-02-05,368,67,38754,8716
2021-02-06,283,72,39037,8788
2021-02-07,93,33,39130,8821
2021-02-08,45,11,39175,8832
2021-02-09,227,53,39402,8885
2021-02-10,360,90,39762,8975
2021-02-11,456,95,40218,9070
2021-02-12,247,46,40465,9116
2021-02-13,284,45,40749,9161
2021-02-14,98,21,40847,9182
2021-02-15,25,5,40872,9187
2021-02-16,196,44,41068,9231
2021-02-17,279,45,41347,9276
2021-02-18,273,44,41620,9320
2021-02-19,241,43,41861,9363
2021-02-20,254,45,42115,9408
2021-02-21,94,21,42209,9429
2021-02-22,17,3,42226,9432
2021-02-23,247,47,42473,9479
2021-02-24,372,67,42845,9546
2021-02-25,286,34,43131,9580
2021-02-26,259,62,43390,9642
2021-02-27,303,55,43693,9697
2021-02-28,114,29,43807,9726
2021-03-01,24,6,43831,9732
2021-03-02,216,62,44047,9794
2021-03-03,309,61,44356,9855
2021-03-04,289,58,44645,9913
2021-03-05,263,47,44908,9960
2021-03-06,245,56,45153,10016
2021-03-07,126,25,45279,10041
2021-03-08,32,4,45311,10045
2021-03-09,282,64,45593,10109
2021-03-10,398,89,45991,10198
2021-03-11,375,99,46366,10297
2021-03-12,351,75,46717,10372
2021-03-13,343,70,47060,10442
2021-03-14,110,25,47170,10467
2021-03-15,28,5,47198,10472
2021-03-16,372,79,47570,10551
2021-03-17,453,103,48023,10654
2021-03-18,356,78,48379,10732
2021-03-19,419,116,48798,10848
2021-03-20,349,88,49147,10936
2021-03-21,140,40,49287,10976
2021-03-22,65,11,49352,10987
2021-03-23,396,82,49748,11069
2021-03-24,575,115,50323,11184
2021-03-25,520,107,50843,11291
2021-03-26,443,125,51286,11416
2021-03-27,448,110,51734,11526
2021-03-28,131,36,51865,11562
2021-03-29,48,11,51913,11573
2021-03-30,461,100,52374,11673
2021-03-31,653,151,53027,11824
2021-04-01,621,130,53648,11954
2021-04-02,497,145,54145,12099
2021-04-03,571,145,54716,12244
2021-04-04,204,50,54920,12294
2021-04-05,64,19,54984,12313
2021-04-06,60,28,55044,12341
2021-04-07,638,158,55682,12499
2021-04-08,954,241,56636,12740
2021-04-09,768,212,57404,12952
2021-04-10,749,193,58153,13145
2021-04-11,245,74,58398,13219
2021-04-12,61,15,58459,13234
2021-04-13,644,216,59103,13450
2021-04-14,803,182,59906,13632
2021-04-15,682,175,60588,13807
2021-04-16,595,176,61183,13983
2021-04-17,616,141,61799,14124
2021-04-18,207,52,62006,14176
2021-04-19,101,48,62107,14224
2021-04-20,601,164,62708,14388
2021-04-21,740,201,63448,14589
2021-04-22,694,175,64142,14764
2021-04-23,539,149,64681,14913
2021-04-24,513,136,65194,15049
2021-04-25,193,49,65387,15098
2021-04-26,22,4,65409,15102
2021-04-27,460,99,65869,15201
2021-04-28,636,179,66505,15380
2021-04-29,541,139,67046,15519
2021-04-30,429,129,67475,15648
2021-05-01,423,99,67898,15747
2021-05-02,144,35,68042,15782
2021-05-03,37,14,68079,15796
2021-05-04,28,6,68107,15802
2021-05-05,349,82,68456,15884
2021-05-06,510,158,68966,16042
2021-05-07,453,117,69419,16159
2021-05-08,421,109,69840,16268
2021-05-09,147,43,69987,16311
2021-05-10,22,11,70009,16322
2021-05-11,319,84,70328,16406
2021-05-12,343,87,70671,16493
2021-05-13,342,88,71013,16581
2021-05-14,289,80,71302,16661
2021-05-15,298,100,71600,16761
2021-05-16,55,21,71655,16782
2021-05-17,11,7,71666,16789
2021-05-18,245,73,71911,16862
2021-05-19,329,74,72240,16936
2021-05-20,250,68,72490,17004
2021-05-21,191,56,72681,17060
2021-05-22,191,44,72872,17104
2021-05-23,46,8,72918,17112
2021-05-24,17,5,72935,17117
2021-05-25,151,41,73086,17158
2021-05-26,209,55,73295,17213
2021-05-27,135,30,73430,17243
2021-05-28,117,35,73547,17278
